"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Classical"	"000.0"	0	2320363006	0.0 (Unreliable)
	"El Tor"	"000.1"	0	2320363006	0.0 (Unreliable)
	"Unspecified"	"000.9"	0	2320363006	0.0 (Unreliable)
	"Typhoid fever"	"001"	49	2320363006	0.0
	"Paratyphoid fever A"	"002.0"	0	2320363006	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	6	2320363006	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	1	2320363006	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	6	2320363006	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	4	2320363006	0.0 (Unreliable)
	"Without mention of food as vehicle of infection"	"003.9"	780	2320363006	0.0
	"Shiga"	"004.0"	0	2320363006	0.0 (Unreliable)
	"Flexner"	"004.1"	20	2320363006	0.0
	"Boyd"	"004.2"	1	2320363006	0.0 (Unreliable)
	"Soone"	"004.3"	12	2320363006	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	0	2320363006	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	1	2320363006	0.0 (Unreliable)
	"Unspecified"	"004.9"	310	2320363006	0.0
	"Staphylococcal"	"005.0"	10	2320363006	0.0 (Unreliable)
	"Botulism"	"005.1"	55	2320363006	0.0
	"Due to other clostridia"	"005.2"	5	2320363006	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	0	2320363006	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	74	2320363006	0.0
	"With liver abscess"	"006.0"	163	2320363006	0.0
	"Without mention of liver abscess"	"006.9"	286	2320363006	0.0
	"Balantidiasis"	"007.0"	0	2320363006	0.0 (Unreliable)
	"Giardiasis"	"007.1"	3	2320363006	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"007.9"	0	2320363006	0.0 (Unreliable)
	"Escherichia coli"	"008.0"	92	2320363006	0.0
	"Arizona"	"008.1"	0	2320363006	0.0 (Unreliable)
	"Other specified bacteria"	"008.2"	218	2320363006	0.0
	"Bacterial enteritis, unspecified"	"008.3"	180	2320363006	0.0
	"Enteritis due to specified virus"	"008.8"	11	2320363006	0.0 (Unreliable)
	"Other organism, not elsewhere classified"	"008.9"	2235	2320363006	0.1
	"Dysentery, unspecified"	"009.0"	125	2320363006	0.0
	"Diarrhea"	"009.1"	2990	2320363006	0.1
	"Gastroenteritis and colitis"	"009.2"	19274	2320363006	0.8
	"Other diarrheal disease"	"009.9"	1	2320363006	0.0 (Unreliable)
	"Silicotuberculosis"	"010"	1320	2320363006	0.1
	"Active, minimal"	"011.0"	36	2320363006	0.0
	"Active, moderately advanced"	"011.1"	383	2320363006	0.0
	"Active, far advanced"	"011.2"	5451	2320363006	0.2
	"Active, stage unspecified"	"011.3"	3423	2320363006	0.1
	"Miliary, lung NOS"	"011.4"	513	2320363006	0.0
	"Radiologic evidence alone"	"011.5"	0	2320363006	0.0 (Unreliable)
	"Pulmonary tuberculosis NOS"	"011.9"	20909	2320363006	0.9
	"Primary"	"012.0"	33	2320363006	0.0
	"Pleurisy specified as tuberculous"	"012.1"	292	2320363006	0.0
	"Pleurisy with effusion without mention of cause"	"012.2"	3704	2320363006	0.2
	"Tuberculous laryngitis"	"012.3"	4	2320363006	0.0 (Unreliable)
	"Other respiratory tuberculosis"	"012.9"	18	2320363006	0.0 (Unreliable)
	"Tuberculous meningitis"	"013.0"	930	2320363006	0.0
