"Notes"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Due to vibrio cholerae"	"001.0"	12	4961016600	0.0 (Unreliable)
	"Due to vibrio cholerae el tor"	"001.1"	0	4961016600	0.0 (Unreliable)
	"Cholera, unspecified"	"001.9"	4	4961016600	0.0 (Unreliable)
	"Typhoid fever"	"002.0"	20	4961016600	0.0
	"Paratyphoid fever a"	"002.1"	2	4961016600	0.0 (Unreliable)
	"Paratyphoid fever b"	"002.2"	4	4961016600	0.0 (Unreliable)
	"Paratyphoid fever c"	"002.3"	0	4961016600	0.0 (Unreliable)
	"Paratyphoid fever, unspecified"	"002.9"	2	4961016600	0.0 (Unreliable)
	"Salmonella gastroenteritis"	"003.0"	442	4961016600	0.0
	"Salmonella septicemia"	"003.1"	795	4961016600	0.0
	"Localized salmonella infections"	"003.2"	100	4961016600	0.0
	"Other specified salmonella infections"	"003.8"	4	4961016600	0.0 (Unreliable)
	"Salmonella infection, unspecified"	"003.9"	158	4961016600	0.0
	"Shigella dysenteriae"	"004.0"	34	4961016600	0.0
	"Shigella flexneri"	"004.1"	5	4961016600	0.0 (Unreliable)
	"Shigella boydii"	"004.2"	1	4961016600	0.0 (Unreliable)
	"Shigella sonnei"	"004.3"	8	4961016600	0.0 (Unreliable)
	"Other specified shigella infections   "	"004.8"	4	4961016600	0.0 (Unreliable)
	"Shigellosis, unspecified"	"004.9"	146	4961016600	0.0
	"Staphylococcal food poisoning"	"005.0"	5	4961016600	0.0 (Unreliable)
	"Botulism"	"005.1"	45	4961016600	0.0
	"Food poisoning due to clostridium perfringens [c. welchii]"	"005.2"	9	4961016600	0.0 (Unreliable)
	"Food poisoning due to other clostridia"	"005.3"	1	4961016600	0.0 (Unreliable)
	"Food poisoning due to vibrio parahaemolyticus"	"005.4"	7	4961016600	0.0 (Unreliable)
	"Other bacterial food poisoning"	"005.8"	7	4961016600	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	51	4961016600	0.0
	"Acute amebic dysentery without mention of abscessacute amebiasis"	"006.0"	0	4961016600	0.0 (Unreliable)
	"Chronic intestinal amebiasis without mention of abscess"	"006.1"	0	4961016600	0.0 (Unreliable)
	"Amebic nondysenteric colitis"	"006.2"	0	4961016600	0.0 (Unreliable)
	"Amebic liver abscess"	"006.3"	55	4961016600	0.0
	"Amebic lung abscess"	"006.4"	8	4961016600	0.0 (Unreliable)
	"Amebic brain abscess"	"006.5"	4	4961016600	0.0 (Unreliable)
	"Amebic skin ulceration"	"006.6"	0	4961016600	0.0 (Unreliable)
	"Amebic infection of other sites"	"006.8"	17	4961016600	0.0 (Unreliable)
	"Amebiasis, unspecified"	"006.9"	85	4961016600	0.0
	"Balantidiasis"	"007.0"	1	4961016600	0.0 (Unreliable)
	"Giardiasis"	"007.1"	19	4961016600	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	137	4961016600	0.0
	"Intestinal trichomoniasis"	"007.3"	0	4961016600	0.0 (Unreliable)
	"Other specified protozoal intestinal diseases"	"007.8"	1	4961016600	0.0 (Unreliable)
	"Unspecified protozoal intestinal disease"	"007.9"	0	4961016600	0.0 (Unreliable)
	"Escherichia coli [e. coli]"	"008.0"	59	4961016600	0.0
	"Arizona group of paracolon bacilli"	"008.1"	2	4961016600	0.0 (Unreliable)
	"Aerobacter aerogenes"	"008.2"	1	4961016600	0.0 (Unreliable)
	"Proteus (mirabilis) (morganii)"	"008.3"	10	4961016600	0.0 (Unreliable)
	"Other specified bacteria"	"008.4"	3182	4961016600	0.1
	"Bacterial enteritis, unspecified"	"008.5"	175	4961016600	0.0
	"Enteritis due to specified virus"	"008.6"	64	4961016600	0.0
	"Other organism, not elsewhere classified"	"008.8"	2116	4961016600	0.0
	"Infectious colitis, enteritis, and gastroenteritis"	"009.0"	4263	4961016600	0.1
	"Infectious diarrhea"	"009.2"	105	4961016600	0.0
	"Primary tuberculous infection"	"010.0"	12	4961016600	0.0 (Unreliable)
	"Tuberculous pleurisy in primary progressive tuberculosis"	"010.1"	0	4961016600	0.0 (Unreliable)
	"Other primary progressive tuberculosis"	"010.8"	2	4961016600	0.0 (Unreliable)
	"Primary tuberculous infection, unspecified"	"010.9"	5	4961016600	0.0 (Unreliable)
	"Tuberculosis of lung, infiltrative"	"011.0"	3	4961016600	0.0 (Unreliable)
	"Tuberculosis of lung, nodular"	"011.1"	1	4961016600	0.0 (Unreliable)
	"Tuberculosis of lung with cavitation"	"011.2"	1019	4961016600	0.0
	"Tuberculosis of bronchus"	"011.3"	368	4961016600	0.0
	"Tuberculous fibrosis of lung"	"011.4"	1057	4961016600	0.0
	"Tuberculous bronchiectasis"	"011.5"	271	4961016600	0.0
	"Tuberculous pneumonia [any form]"	"011.6"	3214	4961016600	0.1
	"Tuberculous pneumothorax"	"011.7"	133	4961016600	0.0
	"Other specified pulmonary tuberculosis"	"011.8"	77	4961016600	0.0
	"Pulmonary tuberculosis, unspecified"	"011.9"	19805	4961016600	0.4
	"Tuberculous pleurisy"	"012.0"	339	4961016600	0.0
	"Tuberculosis of intrathoracic lymph nodes"	"012.1"	7	4961016600	0.0 (Unreliable)
	"Isolated tracheal or bronchial tuberculosis"	"012.2"	2	4961016600	0.0 (Unreliable)
	"Tuberculous laryngitis"	"012.3"	3	4961016600	0.0 (Unreliable)
	"Other specified respiratory tuberculosis"	"012.8"	42	4961016600	0.0
	"Tuberculous meningitis"	"013.0"	767	4961016600	0.0
	"Tuberculoma of meninges"	"013.1"	0	4961016600	0.0 (Unreliable)
	"Other specified tuberculosis of central nervous system"	"013.8"	66	4961016600	0.0
	"Unspecified tuberculosis of central nervous system"	"013.9"	30	4961016600	0.0
	"Tuberculosis of intestines, peritoneum, and mesenteric glands"	"014"	215	4961016600	0.0
	"Vertebral column"	"015.0"	955	4961016600	0.0
	"Hip"	"015.1"	7	4961016600	0.0 (Unreliable)
	"Knee"	"015.2"	3	4961016600	0.0 (Unreliable)
	"Other specified bone"	"015.7"	9	4961016600	0.0 (Unreliable)
	"Other specified joint"	"015.8"	2	4961016600	0.0 (Unreliable)
	"Tuberculosis of unspecified bones and joints"	"015.9"	31	4961016600	0.0
	"Kidney"	"016.0"	139	4961016600	0.0
	"Bladder"	"016.1"	28	4961016600	0.0
	"Ureter"	"016.2"	0	4961016600	0.0 (Unreliable)
	"Other urinary organs"	"016.3"	0	4961016600	0.0 (Unreliable)
	"Epididymis"	"016.4"	2	4961016600	0.0 (Unreliable)
	"Genitourinary tuberculosis, unspecified"	"016.9"	7	4961016600	0.0 (Unreliable)
	"Skin and subcutaneous cellular tissue"	"017.0"	1144	4961016600	0.0
	"Erythema nodosum with hypersensitivity reaction in tuberculosis"	"017.1"	1	4961016600	0.0 (Unreliable)
	"Peripheral lymph nodes"	"017.2"	26	4961016600	0.0
	"Eye"	"017.3"	1	4961016600	0.0 (Unreliable)
	"Ear"	"017.4"	1	4961016600	0.0 (Unreliable)
	"Thyroid gland"	"017.5"	0	4961016600	0.0 (Unreliable)
	"Adrenal glands"	"017.6"	24	4961016600	0.0
	"Spleen"	"017.7"	4	4961016600	0.0 (Unreliable)
	"Esophagus"	"017.8"	214	4961016600	0.0
	"Acute miliary tuberculosis"	"018.0"	28	4961016600	0.0
	"Other specified miliary tuberculosis"	"018.8"	18	4961016600	0.0 (Unreliable)
	"Miliary tuberculosis, unspecified"	"018.9"	3488	4961016600	0.1
	"Bubonic"	"020.0"	12	4961016600	0.0 (Unreliable)
	"Cellulocutaneous"	"020.1"	0	4961016600	0.0 (Unreliable)
	"Septicemic"	"020.2"	6	4961016600	0.0 (Unreliable)
	"Primary pneumonic"	"020.3"	0	4961016600	0.0 (Unreliable)
	"Secondary pneumonic"	"020.4"	0	4961016600	0.0 (Unreliable)
	"Pneumonic, unspecified"	"020.5"	9	4961016600	0.0 (Unreliable)
	"Other specified types of plague"	"020.8"	0	4961016600	0.0 (Unreliable)
	"Plague, unspecified"	"020.9"	4	4961016600	0.0 (Unreliable)
	"Tularemia"	"021"	35	4961016600	0.0
	"Cutaneous anthrax"	"022.0"	0	4961016600	0.0 (Unreliable)
	"Pulmonary anthrax"	"022.1"	0	4961016600	0.0 (Unreliable)
	"Gastrointestinal anthrax"	"022.2"	0	4961016600	0.0 (Unreliable)
	"Anthrax septicemia"	"022.3"	0	4961016600	0.0 (Unreliable)
	"Other specified manifestations of anthrax"	"022.8"	0	4961016600	0.0 (Unreliable)
	"Anthrax, unspecified"	"022.9"	0	4961016600	0.0 (Unreliable)
	"Brucella melitensis"	"023.0"	0	4961016600	0.0 (Unreliable)
	"Brucella abortus"	"023.1"	0	4961016600	0.0 (Unreliable)
	"Brucella suis"	"023.2"	0	4961016600	0.0 (Unreliable)
	"Brucella canis"	"023.3"	0	4961016600	0.0 (Unreliable)
	"Other brucellosis"	"023.8"	0	4961016600	0.0 (Unreliable)
	"Brucellosis, unspecified"	"023.9"	14	4961016600	0.0 (Unreliable)
	"Glanders"	"024"	0	4961016600	0.0 (Unreliable)
	"Melioidosis"	"025"	1	4961016600	0.0 (Unreliable)
	"Spirillary fever"	"026.0"	0	4961016600	0.0 (Unreliable)
	"Streptobacillary fever"	"026.1"	1	4961016600	0.0 (Unreliable)
